,Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
0,ARI,NL,2012,734,688,81,0.328,0.418,0.259,0,,,162,0.317,0.415
1,ATL,NL,2012,700,600,94,0.32,0.389,0.247,1,4.0,5.0,162,0.306,0.378
2,BAL,AL,2012,712,705,93,0.311,0.417,0.247,1,5.0,4.0,162,0.315,0.403
3,BOS,AL,2012,734,806,69,0.315,0.415,0.26,0,,,162,0.331,0.428
4,CHC,NL,2012,613,759,61,0.302,0.378,0.24,0,,,162,0.335,0.424
5,CHW,AL,2012,748,676,85,0.318,0.422,0.255,0,,,162,0.319,0.405
6,CIN,NL,2012,669,588,97,0.315,0.411,0.251,1,2.0,4.0,162,0.305,0.39
7,CLE,AL,2012,667,845,68,0.324,0.381,0.251,0,,,162,0.336,0.43
8,COL,NL,2012,758,890,64,0.33,0.436,0.274,0,,,162,0.357,0.47
9,DET,AL,2012,726,670,88,0.335,0.422,0.268,1,6.0,2.0,162,0.314,0.402
10,HOU,NL,2012,583,794,55,0.302,0.371,0.236,0,,,162,0.337,0.427
11,KCR,AL,2012,676,746,72,0.317,0.4,0.265,0,,,162,0.339,0.423
12,LAA,AL,2012,767,699,89,0.332,0.433,0.274,0,,,162,0.31,0.403
13,LAD,NL,2012,637,597,86,0.317,0.374,0.252,0,,,162,0.31,0.364
14,MIA,NL,2012,609,724,69,0.308,0.382,0.244,0,,,162,0.327,0.399
15,MIL,NL,2012,776,733,83,0.325,0.437,0.259,0,,,162,0.326,0.414
16,MIN,AL,2012,701,832,66,0.325,0.39,0.26,0,,,162,0.333,0.442
17,NYM,NL,2012,650,709,74,0.316,0.386,0.249,0,,,162,0.315,0.401
18,NYY,AL,2012,804,668,95,0.337,0.453,0.265,1,3.0,3.0,162,0.311,0.419
19,OAK,AL,2012,713,614,94,0.31,0.404,0.238,1,4.0,4.0,162,0.306,0.378
20,PHI,NL,2012,684,680,81,0.317,0.4,0.255,0,,,162,0.306,0.407
21,PIT,NL,2012,651,674,79,0.304,0.395,0.243,0,,,162,0.314,0.39
22,SDP,NL,2012,651,710,76,0.319,0.38,0.247,0,,,162,0.319,0.398
23,SEA,AL,2012,619,651,75,0.296,0.369,0.234,0,,,162,0.308,0.394
24,SFG,NL,2012,718,649,94,0.327,0.397,0.269,1,4.0,1.0,162,0.313,0.393
25,STL,NL,2012,765,648,88,0.338,0.421,0.271,1,6.0,3.0,162,0.313,0.387
26,TBR,AL,2012,697,577,90,0.317,0.394,0.24,0,,,162,0.294,0.352
27,TEX,AL,2012,808,707,93,0.334,0.446,0.273,1,5.0,5.0,162,0.309,0.408
28,TOR,AL,2012,716,784,73,0.309,0.407,0.245,0,,,162,0.335,0.438
29,WSN,NL,2012,731,594,98,0.322,0.428,0.261,1,1.0,4.0,162,0.303,0.373
30,ARI,NL,2011,731,662,94,0.322,0.413,0.25,1,5.0,4.0,162,0.316,0.409
31,ATL,NL,2011,641,605,89,0.308,0.387,0.243,0,,,162,0.31,0.361
32,BAL,AL,2011,708,860,69,0.316,0.413,0.257,0,,,162,0.341,0.46
33,BOS,AL,2011,875,737,90,0.349,0.461,0.28,0,,,162,0.322,0.392
34,CHC,NL,2011,654,756,71,0.314,0.401,0.256,0,,,162,0.335,0.413
35,CHW,AL,2011,654,706,79,0.319,0.388,0.252,0,,,162,0.317,0.397
36,CIN,NL,2011,735,720,79,0.326,0.408,0.256,0,,,162,0.325,0.415
37,CLE,AL,2011,704,760,80,0.317,0.396,0.25,0,,,162,0.323,0.413
38,COL,NL,2011,735,774,73,0.329,0.41,0.258,0,,,162,0.331,0.431
39,DET,AL,2011,787,711,95,0.34,0.434,0.277,1,4.0,3.0,162,0.321,0.396
40,FLA,NL,2011,625,702,72,0.318,0.388,0.247,0,,,162,0.316,0.401
41,HOU,NL,2011,615,796,56,0.311,0.374,0.258,0,,,162,0.337,0.432
42,KCR,AL,2011,730,762,71,0.329,0.415,0.275,0,,,162,0.337,0.425
43,LAA,AL,2011,667,633,86,0.313,0.402,0.253,0,,,162,0.313,0.388
44,LAD,NL,2011,644,612,82,0.322,0.375,0.257,0,,,161,0.31,0.371
45,MIL,NL,2011,721,638,96,0.325,0.425,0.261,1,3.0,3.0,162,0.304,0.385
46,MIN,AL,2011,619,804,63,0.306,0.36,0.247,0,,,162,0.34,0.435
47,NYM,NL,2011,718,742,77,0.335,0.391,0.264,0,,,162,0.332,0.411
48,NYY,AL,2011,867,657,97,0.343,0.444,0.263,1,2.0,4.0,162,0.322,0.399
49,OAK,AL,2011,645,679,74,0.311,0.369,0.244,0,,,162,0.317,0.378
50,PHI,NL,2011,713,529,102,0.323,0.395,0.253,1,1.0,4.0,162,0.296,0.361
51,PIT,NL,2011,610,712,72,0.309,0.368,0.244,0,,,162,0.338,0.409
52,SDP,NL,2011,593,611,71,0.305,0.349,0.237,0,,,162,0.314,0.375
53,SEA,AL,2011,556,675,67,0.292,0.348,0.233,0,,,162,0.31,0.386
54,SFG,NL,2011,570,578,86,0.303,0.368,0.242,0,,,162,0.309,0.346
55,STL,NL,2011,762,692,90,0.341,0.425,0.273,1,7.0,1.0,162,0.319,0.398
56,TBR,AL,2011,707,614,91,0.322,0.402,0.244,1,6.0,4.0,162,0.303,0.383
57,TEX,AL,2011,855,677,96,0.34,0.46,0.283,1,3.0,2.0,162,0.307,0.392
58,TOR,AL,2011,743,761,81,0.317,0.413,0.249,0,,,162,0.328,0.419
59,WSN,NL,2011,624,643,80,0.309,0.383,0.242,0,,,161,0.319,0.382
60,ARI,NL,2010,713,836,65,0.325,0.416,0.25,0,,,162,0.34,0.448
61,ATL,NL,2010,738,629,91,0.339,0.401,0.258,1,6.0,4.0,162,0.314,0.376
62,BAL,AL,2010,613,785,66,0.316,0.386,0.259,0,,,162,0.336,0.434
63,BOS,AL,2010,818,744,89,0.339,0.451,0.268,0,,,162,0.327,0.399
64,CHC,NL,2010,685,767,75,0.32,0.401,0.257,0,,,162,0.334,0.398
65,CHW,AL,2010,752,704,88,0.332,0.42,0.268,0,,,162,0.325,0.395
66,CIN,NL,2010,790,685,91,0.338,0.436,0.272,1,6.0,4.0,162,0.323,0.396
67,CLE,AL,2010,646,752,69,0.322,0.378,0.248,0,,,162,0.342,0.416
68,COL,NL,2010,770,717,83,0.336,0.425,0.263,0,,,162,0.326,0.397
69,DET,AL,2010,751,743,81,0.335,0.415,0.268,0,,,162,0.332,0.4
70,FLA,NL,2010,719,717,80,0.321,0.403,0.254,0,,,162,0.331,0.398
71,HOU,NL,2010,611,729,76,0.303,0.362,0.247,0,,,162,0.33,0.402
72,KCR,AL,2010,676,845,67,0.331,0.399,0.274,0,,,162,0.342,0.435
73,LAA,AL,2010,681,702,80,0.311,0.39,0.248,0,,,162,0.327,0.403
74,LAD,NL,2010,667,692,80,0.322,0.379,0.252,0,,,162,0.316,0.378
75,MIL,NL,2010,750,804,77,0.335,0.424,0.262,0,,,162,0.338,0.427
76,MIN,AL,2010,781,671,94,0.341,0.422,0.273,1,4.0,4.0,162,0.317,0.417
77,NYM,NL,2010,656,652,79,0.314,0.383,0.249,0,,,162,0.33,0.394
78,NYY,AL,2010,859,693,95,0.35,0.436,0.267,1,3.0,3.0,162,0.322,0.399
79,OAK,AL,2010,663,626,81,0.324,0.378,0.256,0,,,162,0.313,0.379
80,PHI,NL,2010,772,640,97,0.332,0.413,0.26,1,1.0,3.0,162,0.311,0.405
81,PIT,NL,2010,587,866,57,0.304,0.373,0.242,0,,,162,0.348,0.449
82,SDP,NL,2010,665,581,90,0.317,0.371,0.246,0,,,162,0.308,0.368
83,SEA,AL,2010,513,698,61,0.298,0.339,0.236,0,,,162,0.313,0.401
84,SFG,NL,2010,697,583,92,0.321,0.408,0.257,1,5.0,1.0,162,0.313,0.37
85,STL,NL,2010,736,641,86,0.332,0.402,0.263,0,,,162,0.319,0.387
86,TBR,AL,2010,802,649,96,0.333,0.403,0.247,1,2.0,4.0,162,0.308,0.404
87,TEX,AL,2010,787,687,90,0.338,0.419,0.276,1,7.0,2.0,162,0.319,0.39
88,TOR,AL,2010,755,728,85,0.312,0.454,0.248,0,,,162,0.326,0.405
89,WSN,NL,2010,655,742,69,0.318,0.39,0.25,0,,,162,0.33,0.41
90,ARI,NL,2009,720,782,70,0.324,0.418,0.253,0,,,162,0.33,0.419
91,ATL,NL,2009,735,641,86,0.339,0.405,0.263,0,,,162,0.323,0.39
92,BAL,AL,2009,741,876,64,0.332,0.415,0.268,0,,,162,0.353,0.476
93,BOS,AL,2009,872,736,95,0.352,0.454,0.27,1,3.0,4.0,162,0.335,0.422
94,CHC,NL,2009,707,672,83,0.332,0.407,0.255,0,,,161,0.324,0.391
95,CHW,AL,2009,724,732,79,0.329,0.411,0.258,0,,,162,0.325,0.414
96,CIN,NL,2009,673,723,78,0.318,0.394,0.247,0,,,162,0.333,0.418
97,CLE,AL,2009,773,865,65,0.339,0.417,0.264,0,,,162,0.351,0.443
98,COL,NL,2009,804,715,92,0.343,0.441,0.261,1,5.0,4.0,162,0.328,0.405
99,DET,AL,2009,743,745,86,0.331,0.416,0.26,0,,,163,0.336,0.422
100,FLA,NL,2009,772,766,87,0.34,0.416,0.268,0,,,162,0.333,0.408
101,HOU,NL,2009,643,770,74,0.319,0.4,0.26,0,,,162,0.344,0.44
102,KCR,AL,2009,686,842,65,0.318,0.405,0.259,0,,,162,0.343,0.422
103,LAA,AL,2009,883,761,97,0.35,0.441,0.285,1,2.0,3.0,162,0.338,0.432
104,LAD,NL,2009,780,611,95,0.346,0.412,0.27,1,3.0,3.0,162,0.312,0.361
105,MIL,NL,2009,785,818,80,0.341,0.426,0.263,0,,,162,0.345,0.45
106,MIN,AL,2009,817,765,87,0.345,0.429,0.274,1,7.0,4.0,163,0.331,0.431
107,NYM,NL,2009,671,757,70,0.335,0.394,0.27,0,,,162,0.342,0.418
108,NYY,AL,2009,915,753,103,0.362,0.478,0.283,1,1.0,1.0,162,0.327,0.408
109,OAK,AL,2009,759,761,75,0.328,0.397,0.262,0,,,162,0.329,0.413
110,PHI,NL,2009,820,709,93,0.334,0.447,0.258,1,4.0,2.0,162,0.329,0.427
111,PIT,NL,2009,636,768,62,0.318,0.387,0.252,0,,,161,0.346,0.442
112,SDP,NL,2009,638,769,75,0.321,0.381,0.242,0,,,162,0.333,0.406
113,SEA,AL,2009,640,692,85,0.314,0.402,0.258,0,,,162,0.316,0.394
114,SFG,NL,2009,657,611,88,0.309,0.389,0.257,0,,,162,0.314,0.372
115,STL,NL,2009,730,640,91,0.332,0.415,0.263,1,6.0,4.0,162,0.319,0.386
116,TBR,AL,2009,803,754,84,0.343,0.439,0.263,0,,,162,0.324,0.417
117,TEX,AL,2009,784,740,87,0.32,0.445,0.26,0,,,162,0.331,0.416
118,TOR,AL,2009,798,771,75,0.333,0.44,0.266,0,,,162,0.339,0.434
119,WSN,NL,2009,710,874,59,0.337,0.406,0.258,0,,,162,0.352,0.45
120,ARI,NL,2008,720,706,82,0.327,0.415,0.251,0,,,162,0.318,0.398
121,ATL,NL,2008,753,778,72,0.345,0.408,0.27,0,,,162,0.336,0.423
122,BAL,AL,2008,782,869,68,0.333,0.429,0.267,0,,,161,0.361,0.435
123,BOS,AL,2008,845,694,95,0.358,0.447,0.28,1,3.0,3.0,162,0.323,0.39
124,CHC,NL,2008,855,671,97,0.354,0.443,0.278,1,2.0,4.0,161,0.316,0.395
125,CHW,AL,2008,811,729,89,0.332,0.448,0.263,1,6.0,4.0,163,0.32,0.41
126,CIN,NL,2008,704,800,74,0.321,0.408,0.247,0,,,162,0.345,0.45
127,CLE,AL,2008,805,761,81,0.339,0.424,0.262,0,,,162,0.33,0.424
128,COL,NL,2008,747,822,74,0.336,0.415,0.263,0,,,162,0.344,0.431
129,DET,AL,2008,821,857,74,0.34,0.444,0.271,0,,,162,0.353,0.437
130,FLA,NL,2008,770,767,84,0.326,0.433,0.254,0,,,161,0.333,0.407
131,HOU,NL,2008,712,743,86,0.323,0.415,0.263,0,,,161,0.328,0.44
132,KCR,AL,2008,691,781,75,0.32,0.397,0.269,0,,,162,0.328,0.415
133,LAA,AL,2008,765,697,100,0.33,0.413,0.268,1,1.0,4.0,162,0.323,0.406
134,LAD,NL,2008,700,648,84,0.333,0.399,0.264,1,7.0,3.0,162,0.315,0.376
135,MIL,NL,2008,750,689,90,0.325,0.431,0.253,1,5.0,4.0,162,0.323,0.406
136,MIN,AL,2008,829,745,88,0.34,0.408,0.279,0,,,163,0.324,0.431
137,NYM,NL,2008,799,715,89,0.34,0.42,0.266,0,,,162,0.331,0.397
138,NYY,AL,2008,789,727,89,0.342,0.427,0.271,0,,,162,0.329,0.405
139,OAK,AL,2008,646,690,75,0.318,0.369,0.242,0,,,161,0.328,0.392
140,PHI,NL,2008,799,680,92,0.332,0.438,0.255,1,4.0,1.0,162,0.329,0.41
141,PIT,NL,2008,735,884,67,0.32,0.403,0.258,0,,,162,0.362,0.454
142,SDP,NL,2008,637,764,63,0.317,0.39,0.25,0,,,162,0.332,0.409
143,SEA,AL,2008,671,811,61,0.318,0.389,0.265,0,,,162,0.351,0.433
144,SFG,NL,2008,640,759,72,0.321,0.382,0.262,0,,,162,0.341,0.404
145,STL,NL,2008,779,725,86,0.35,0.433,0.281,0,,,162,0.332,0.431
146,TBR,AL,2008,774,671,97,0.34,0.422,0.26,1,2.0,2.0,162,0.314,0.4
147,TEX,AL,2008,901,967,79,0.354,0.462,0.283,0,,,162,0.362,0.455
148,TOR,AL,2008,714,610,86,0.331,0.399,0.264,0,,,162,0.309,0.38
149,WSN,NL,2008,641,825,59,0.323,0.373,0.251,0,,,161,0.343,0.436
150,ARI,NL,2007,712,732,90,0.321,0.413,0.25,1,3.0,3.0,162,0.334,0.42
151,ATL,NL,2007,810,733,84,0.339,0.435,0.275,0,,,162,0.327,0.415
152,BAL,AL,2007,756,868,69,0.333,0.412,0.272,0,,,162,0.354,0.412
153,BOS,AL,2007,867,657,96,0.362,0.444,0.279,1,1.0,1.0,162,0.314,0.392
154,CHC,NL,2007,752,690,85,0.333,0.422,0.271,1,5.0,4.0,162,0.322,0.399
155,CHW,AL,2007,693,839,72,0.318,0.404,0.246,0,,,162,0.338,0.435
156,CIN,NL,2007,783,853,72,0.335,0.436,0.267,0,,,162,0.343,0.456
157,CLE,AL,2007,811,704,96,0.343,0.428,0.268,1,1.0,3.0,162,0.322,0.407
158,COL,NL,2007,860,758,90,0.354,0.437,0.28,1,3.0,2.0,163,0.33,0.423
159,DET,AL,2007,887,797,88,0.345,0.458,0.287,0,,,162,0.338,0.427
160,FLA,NL,2007,790,891,71,0.336,0.448,0.267,0,,,162,0.364,0.442
161,HOU,NL,2007,723,813,73,0.33,0.412,0.26,0,,,162,0.337,0.454
162,KCR,AL,2007,706,778,69,0.322,0.388,0.261,0,,,162,0.339,0.445
163,LAA,AL,2007,822,731,94,0.345,0.417,0.284,1,2.0,4.0,162,0.328,0.412
164,LAD,NL,2007,735,727,82,0.337,0.406,0.275,0,,,162,0.326,0.399
165,MIL,NL,2007,801,776,83,0.329,0.456,0.262,0,,,162,0.333,0.422
166,MIN,AL,2007,718,725,79,0.33,0.391,0.264,0,,,162,0.324,0.431
167,NYM,NL,2007,804,750,88,0.342,0.432,0.275,0,,,162,0.329,0.409
168,NYY,AL,2007,968,777,94,0.366,0.463,0.29,1,2.0,4.0,162,0.34,0.417
169,OAK,AL,2007,741,758,76,0.338,0.407,0.256,0,,,162,0.329,0.404
170,PHI,NL,2007,892,821,89,0.354,0.458,0.274,1,4.0,4.0,162,0.346,0.451
171,PIT,NL,2007,724,846,68,0.325,0.411,0.263,0,,,162,0.352,0.447
172,SDP,NL,2007,741,666,89,0.322,0.411,0.251,0,,,163,0.311,0.374
173,SEA,AL,2007,794,813,88,0.337,0.425,0.287,0,,,162,0.349,0.431
174,SFG,NL,2007,683,720,71,0.322,0.387,0.254,0,,,162,0.334,0.405
175,STL,NL,2007,725,829,78,0.337,0.405,0.274,0,,,162,0.336,0.431
176,TBD,AL,2007,782,944,66,0.336,0.433,0.268,0,,,162,0.358,0.467
177,TEX,AL,2007,816,844,75,0.328,0.426,0.263,0,,,162,0.356,0.423
178,TOR,AL,2007,753,699,83,0.327,0.419,0.259,0,,,162,0.315,0.391
179,WSN,NL,2007,673,783,73,0.325,0.39,0.256,0,,,162,0.339,0.433
180,ARI,NL,2006,773,788,76,0.331,0.424,0.267,0,,,162,0.335,0.431
181,ATL,NL,2006,849,805,79,0.337,0.455,0.27,0,,,162,0.343,0.438
182,BAL,AL,2006,768,899,70,0.339,0.424,0.277,0,,,162,0.357,0.462
183,BOS,AL,2006,820,825,86,0.351,0.435,0.269,0,,,162,0.343,0.447
184,CHC,NL,2006,716,834,66,0.319,0.422,0.268,0,,,162,0.342,0.431
185,CHW,AL,2006,868,794,90,0.342,0.464,0.28,0,,,162,0.326,0.44
186,CIN,NL,2006,749,801,80,0.336,0.432,0.257,0,,,162,0.337,0.457
187,CLE,AL,2006,870,782,78,0.349,0.457,0.28,0,,,162,0.335,0.431
188,COL,NL,2006,813,812,76,0.341,0.433,0.27,0,,,162,0.346,0.438
189,DET,AL,2006,822,675,95,0.329,0.449,0.274,1,3.0,2.0,162,0.321,0.405
190,FLA,NL,2006,758,772,78,0.331,0.435,0.264,0,,,162,0.347,0.423
191,HOU,NL,2006,735,719,82,0.332,0.409,0.255,0,,,162,0.319,0.421
192,KCR,AL,2006,757,971,62,0.332,0.411,0.271,0,,,162,0.367,0.476
193,LAA,AL,2006,766,732,89,0.334,0.425,0.274,0,,,162,0.316,0.402
194,LAD,NL,2006,820,751,88,0.348,0.432,0.276,1,5.0,4.0,162,0.33,0.418
195,MIL,NL,2006,730,833,75,0.327,0.42,0.258,0,,,162,0.333,0.438
196,MIN,AL,2006,801,683,96,0.347,0.425,0.287,1,2.0,4.0,162,0.312,0.423
197,NYM,NL,2006,834,731,97,0.334,0.445,0.264,1,1.0,3.0,162,0.323,0.407
198,NYY,AL,2006,930,767,97,0.363,0.461,0.285,1,1.0,4.0,162,0.326,0.413
199,OAK,AL,2006,771,727,93,0.34,0.412,0.26,1,4.0,3.0,162,0.338,0.422
200,PHI,NL,2006,865,812,85,0.347,0.447,0.267,0,,,162,0.339,0.46
201,PIT,NL,2006,691,797,67,0.327,0.397,0.263,0,,,162,0.357,0.431
202,SDP,NL,2006,731,679,88,0.332,0.416,0.263,1,5.0,4.0,162,0.312,0.404
203,SEA,AL,2006,756,792,78,0.325,0.424,0.272,0,,,162,0.337,0.432
204,SFG,NL,2006,746,790,76,0.324,0.422,0.259,0,,,161,0.337,0.415
205,STL,NL,2006,781,762,83,0.337,0.431,0.269,1,6.0,1.0,161,0.337,0.443
206,TBD,AL,2006,689,856,61,0.314,0.42,0.255,0,,,162,0.358,0.452
207,TEX,AL,2006,835,784,80,0.338,0.446,0.278,0,,,162,0.341,0.424
208,TOR,AL,2006,809,754,87,0.348,0.463,0.284,0,,,162,0.328,0.422
209,WSN,NL,2006,746,872,71,0.338,0.418,0.262,0,,,162,0.349,0.447
210,ARI,NL,2005,696,856,77,0.332,0.421,0.256,0,,,162,0.345,0.455
211,ATL,NL,2005,769,674,90,0.333,0.435,0.265,1,4.0,4.0,162,0.333,0.406
212,BAL,AL,2005,729,800,74,0.327,0.434,0.269,0,,,162,0.336,0.416
213,BOS,AL,2005,910,805,95,0.357,0.454,0.281,1,3.0,4.0,162,0.335,0.441
214,CHC,NL,2005,703,714,79,0.324,0.44,0.27,0,,,162,0.325,0.407
215,CHW,AL,2005,741,645,99,0.322,0.425,0.262,1,2.0,1.0,162,0.31,0.397
216,CIN,NL,2005,820,889,73,0.339,0.446,0.261,0,,,163,0.352,0.483
217,CLE,AL,2005,790,642,93,0.334,0.453,0.271,0,,,162,0.302,0.387
218,COL,NL,2005,740,862,67,0.333,0.411,0.267,0,,,162,0.362,0.457
219,DET,AL,2005,723,787,71,0.321,0.428,0.272,0,,,162,0.33,0.436
220,FLA,NL,2005,717,732,83,0.339,0.409,0.272,0,,,162,0.339,0.402
221,HOU,NL,2005,693,609,89,0.322,0.408,0.256,1,5.0,2.0,163,0.308,0.389
222,KCR,AL,2005,701,935,56,0.32,0.396,0.263,0,,,162,0.362,0.463
223,LAA,AL,2005,761,643,95,0.325,0.409,0.27,1,3.0,3.0,162,0.312,0.401
224,LAD,NL,2005,685,755,71,0.326,0.395,0.253,0,,,162,0.327,0.429
225,MIL,NL,2005,726,697,81,0.331,0.423,0.259,0,,,162,0.324,0.408
226,MIN,AL,2005,688,662,83,0.323,0.391,0.259,0,,,162,0.307,0.408
227,NYM,NL,2005,722,648,83,0.322,0.416,0.258,0,,,162,0.321,0.387
228,NYY,AL,2005,886,789,95,0.355,0.45,0.276,1,3.0,4.0,162,0.332,0.422
229,OAK,AL,2005,772,658,88,0.33,0.407,0.262,0,,,162,0.311,0.382
230,PHI,NL,2005,807,726,88,0.348,0.423,0.27,0,,,162,0.32,0.426
231,PIT,NL,2005,680,769,67,0.322,0.4,0.259,0,,,162,0.344,0.424
232,SDP,NL,2005,684,726,82,0.333,0.391,0.257,1,6.0,4.0,162,0.322,0.408
233,SEA,AL,2005,699,751,69,0.317,0.391,0.256,0,,,162,0.332,0.422
234,SFG,NL,2005,649,745,75,0.319,0.396,0.261,0,,,162,0.336,0.412
235,STL,NL,2005,805,634,100,0.339,0.423,0.27,1,1.0,3.0,162,0.318,0.398
236,TBD,AL,2005,750,936,67,0.329,0.425,0.274,0,,,162,0.355,0.455
237,TEX,AL,2005,865,858,79,0.329,0.468,0.267,0,,,162,0.343,0.428
238,TOR,AL,2005,775,705,80,0.331,0.407,0.265,0,,,162,0.324,0.418
239,WSN,NL,2005,639,673,81,0.322,0.386,0.252,0,,,162,0.333,0.396
240,ANA,AL,2004,836,734,92,0.341,0.429,0.282,1,6.0,4.0,162,0.326,0.415
241,ARI,NL,2004,615,899,51,0.31,0.393,0.253,0,,,162,0.35,0.439
242,ATL,NL,2004,803,668,96,0.343,0.434,0.27,1,4.0,4.0,162,0.329,0.4
243,BAL,AL,2004,842,830,78,0.345,0.432,0.281,0,,,162,0.348,0.404
244,BOS,AL,2004,949,768,98,0.36,0.472,0.282,1,3.0,1.0,162,0.318,0.408
245,CHC,NL,2004,789,665,89,0.328,0.458,0.268,0,,,162,0.321,0.395
246,CHW,AL,2004,865,831,83,0.333,0.457,0.268,0,,,162,0.338,0.453
247,CIN,NL,2004,750,907,76,0.331,0.418,0.25,0,,,162,0.348,0.481
248,CLE,AL,2004,858,857,80,0.351,0.444,0.276,0,,,162,0.342,0.445
249,COL,NL,2004,833,923,68,0.345,0.455,0.275,0,,,162,0.372,0.471
250,DET,AL,2004,827,844,72,0.337,0.449,0.272,0,,,162,0.34,0.441
251,FLA,NL,2004,718,700,83,0.329,0.406,0.264,0,,,162,0.324,0.412
252,HOU,NL,2004,803,698,92,0.342,0.436,0.267,1,6.0,3.0,162,0.328,0.417
253,KCR,AL,2004,720,905,58,0.322,0.397,0.259,0,,,162,0.352,0.476
254,LAD,NL,2004,761,684,93,0.332,0.423,0.262,1,5.0,4.0,162,0.323,0.408
255,MIL,NL,2004,634,757,67,0.321,0.387,0.248,0,,,161,0.32,0.417
256,MIN,AL,2004,780,715,92,0.332,0.431,0.266,1,6.0,4.0,162,0.323,0.406
257,MON,NL,2004,635,769,67,0.313,0.392,0.249,0,,,162,0.342,0.431
258,NYM,NL,2004,684,731,71,0.317,0.409,0.249,0,,,162,0.335,0.405
259,NYY,AL,2004,897,808,101,0.353,0.458,0.268,1,2.0,3.0,162,0.328,0.432
260,OAK,AL,2004,793,742,91,0.343,0.433,0.27,0,,,162,0.332,0.409
261,PHI,NL,2004,840,781,86,0.345,0.443,0.267,0,,,162,0.33,0.448
262,PIT,NL,2004,680,744,72,0.321,0.401,0.26,0,,,161,0.342,0.416
263,SDP,NL,2004,768,705,87,0.342,0.414,0.273,0,,,162,0.318,0.431
264,SEA,AL,2004,698,823,63,0.331,0.396,0.27,0,,,162,0.338,0.441
265,SFG,NL,2004,850,770,91,0.357,0.438,0.27,0,,,162,0.332,0.423
266,STL,NL,2004,855,659,105,0.344,0.46,0.278,1,1.0,2.0,162,0.313,0.403
267,TBD,AL,2004,714,842,70,0.32,0.405,0.258,0,,,161,0.342,0.438
268,TEX,AL,2004,860,794,89,0.329,0.457,0.266,0,,,162,0.344,0.432
269,TOR,AL,2004,719,823,67,0.328,0.403,0.26,0,,,161,0.348,0.434
270,ANA,AL,2003,736,743,77,0.33,0.413,0.268,0,,,162,0.327,0.421
271,ARI,NL,2003,717,685,84,0.33,0.417,0.263,0,,,162,0.322,0.388
272,ATL,NL,2003,907,740,101,0.349,0.475,0.284,1,1.0,4.0,162,0.327,0.401
273,BAL,AL,2003,743,820,71,0.323,0.405,0.268,0,,,163,0.346,0.446
274,BOS,AL,2003,961,809,95,0.36,0.491,0.289,1,4.0,3.0,162,0.327,0.415
275,CHC,NL,2003,724,683,88,0.323,0.416,0.259,1,7.0,3.0,162,0.324,0.372
